image,label
94b5a41bb6aa4d54b24e31fa32701542.png,977
ca5f5b3e23404bb7869b707d2487960a_flip.png,263
64c48502e6c44ae08d97ffb7d8c32148.png,361
fa235abbd4d0411f8af2466da38d09e3_noise.png,285
3534719de8744c6486ff602aec5e44a8_flip.png,296
06079072a25c460a94751c515aa1cc95.png,385
224e6c30c11542e486351ac4036a0998.png,885
141e29fdb537467a9890084435587810.png,885
0a4a4ef1dd4940b683acb4d05435f619.png,208
f4449d801cad4c04a77ac2722c43d477_flip.png,629
cce9150a3f1c490eb2c479cc223855a2_noise.png,418
8810497ab5ea4c459c0873d816d7b1f2.png,900
46550b4e898e412db8673ee7fc64d9b1.png,696
b5228f75a3e34c5fa2367dc74925e989_flip.png,973
26d7c5ee096747fa8d7b4b294b3ed3d1.png,982
8c14488e08d349f897940dda57a68044.png,739
ea590481677346e2bd02edb4a6254ea0_rotate.png,997
c00ec10a5c50443fb45f55ce42b9b767.png,387
59146d5067514dd4b5c180b5bfb2d3d8_flip.png,53
1fa06fe13ed846a2ac0fe6aafe519ad3.png,180
b0f11feeb9b84df8aef07f1de25ad630.png,515
b2e360eece614dedbe3c2af052fd00bc_flip.png,149
ba4bd3b3c61941989afc356dfe2dad7b_noise.png,396
94463332223a4538a680ffaceffeac5c.png,643
6456e4a902a84f1995f86a27d7cb5328_rotate.png,412
29b49f08178e4a22b8729da28bb1f2bf.png,740
d4903860d9ee4f15a121f52f70fa36d5_flip.png,805
327d02de635b43a78a8322d8a58f4d33_noise.png,451
4e2be93a3704458e9da1ca3dcaadde9f.png,384
93e98148a5d5468f83933d761a80b9c5_noise.png,616
2e15245ea6234ec186923ebcd42017bb.png,219
f05c9c0454f949c7b7ce8dabcc0300c4.png,482
49772c29af8b4e3a9f1c4a67a413e41b.png,112
60c4a8efd2c949d2ad2c4f4bae663f6b.png,251
84cb292c92cc4ca4a98453d80ac53fec_rotate.png,966
a20b2eb2c9e24cf782e0db7dcdbff157.png,305
81027daf409d41969c0c04a7f5fcaee7.png,113
9b67b404e5844a9a9467edc53296d040.png,547
809b1ed4159746f79bd4afde9d409b74.png,251
84a156eb7b534f5aa8a7c82894d90a06.png,89
400cc102d49c4098bec9b62e3b381811.png,38
76e425334fce454b8fc0cc366e5fe9a6.png,844
a1a5d72fffc34713b601a22f0a0ec56a.png,331
d839f87063df4fa0ae82c0b5289064ce.png,650
702f0fcd5258499c9f453b5b25a54826.png,622
c9ba0b0a874b4c429dbf02088292b461_rotate.png,27
665811c5870a47c19271b6806eb52b53.png,389
4b3df7521bf943fd810464c321d90005_noise.png,771
0e3415d6e3d345f690c0a651c08cdfda.png,244
0e659116e9634fc39563e464406fd0e8_rotate.png,326
74bc534409c94da6bd5db6547aab6d92_flip.png,460
305d9eaa73574dfca71e716bd9220433_noise.png,960
87992baeacc145d5be8c88b4b971fe80.png,773
54eb7edc19464f3f8a8ec96cb801f1a9.png,688
fc0f11ce866d43699aa4cc67bf0a57e0.png,850
fb6fc906bc8a498dae5ee64009be5c90_noise.png,123
a4a989b7205947e9b5450a8bd9b032ac.png,879
07a92cb7d5ed489e8b985ef925d64ecc.png,670
3a8a2c7b70fb422f9329e38059a02616_flip.png,573
15768a29a4204085b4042d1de50dc9c7.png,740
4f04f60cf2374b25baede5da957bb05c.png,466
6631f94bc967445fa1a8a01e3332c758_rotate.png,664
acc89d779f504418a64b91b4aebb53cf.png,347
c732c473f5394862bcde18091f52675a_flip.png,634
9d48c3efebfb442a9414cff686420716.png,136
7dca133758e14380977b2af3fdde1f58_rotate.png,79
5d182df2c396423caf7e15236729a484.png,862
b1182080e3f141b7b9c1acf8084d7114.png,762
26be4f7e8870444fba0a5cef95ff8498.png,946
b71e6336809e442bb423c19e908b38b7.png,272
283c3f87643946f4b2c23c05b12cc110.png,757
a657905603504a89a6cd054a29907863.png,799
47d99fe24d414b5b805bd2729222f542.png,494
84f488e41eb046a29f6f696a64a4bd08.png,474
b68c83d45447447c9d6404880dd4af05_rotate.png,890
8c06799d4778477192f26f01f2da3374.png,874
35ea92d07e7140b9bfed469e0070546e.png,847
33ef4e14b27c4df28437987d4cf628f6.png,966
cb9106323f1849cd96702529c31268d7.png,919
024d3095c9f14bd784b1eb7dee700037.png,195
4b5c7ba679c9410e9038d757a4b38d8e.png,293
dd08c217e2e744529dab43cd41410ecd.png,66
cc8198751ec14b0694c82ce891a70d3e.png,802
dd5b2542f9124d4bb2020286a5ae03b4.png,233
12635b4f4a434de9ba663d217dfb84a1_rotate.png,951
fd93787fb441424d877c86832c1a8018.png,232
8a86b81278904b9888f90649e567e61d.png,826
66e90ace3c5047ccb1c81355a531681d_noise.png,37
645c4f2a51d84bad938cc3d675fafb1f_rotate.png,898
98d3e8c378a44b62bf98d0775fcf779d.png,204
80072e27c0404a6fb9d7f83f2d2faa45.png,852
9871ff5bdd374abfba6b06a843085368.png,335
d4ac676ed4834d78b4b058c3cd223def.png,179
3081412e9e7d4b0bbee754a1ad40253a_flip.png,977
4898fe69a04a4c749f152cfcb1838451.png,58
1767106b4e184b2da8ab90cf66e3d2b3.png,885
cd958bf50a0e4e3cab87acc27c48cb92.png,820
ff698d43887946599d264ca010e038c2.png,948
82c78a27441b4bad92f39626f767d670.png,570
93d4196ac9b64eaabc725d0d8bc23b95_noise.png,118
32d35ce392284e6b8ae808166872c06e_rotate.png,189
8c031b86d1314f5badcd659fba98fab9.png,456
cc1ba15b9fa54b79ae523cbaf6feec3c_noise.png,510
1f89297554064d3d81cf75e0f368945c.png,234
e9958a1710024bb2bdb3148a6a7ffa4d.png,803
33e4d7a906464eee9ce567eee1839626.png,237
695e37bfad8744a69a53c00ec9054675_rotate.png,81
baacc9c0321645a7ba2ec7b83d79f928.png,136
8b2e49b6d3cf445f96920c48d0cff4ab_rotate.png,754
12b26d23f2f84452b349a459059be401.png,404
72c179a748724a99931f99773d10604f.png,233
c32980090a314ed38b893a2eaeac7993_flip.png,36
1bf9fb07bac04aa290d70242faf80fed.png,883
8913496ae0c4454885585abdc0120910.png,159
a64ab4d754fa4626a3b656f7e9e15104.png,281
03155c40684d4c69b8981da43ff2fbc2_rotate.png,658
d1972bdb86dc4a898d963f3a091ddeaa_rotate.png,905
c2f7bc7cc9fc480ab6c4b2a16b8cdd6a.png,512
36b6111803d443abbda708992d55c100.png,960
a1ef952c724640f99cc1bb4a23a0661a_noise.png,182
a020827a7ff041fd885d837ffceb9317_rotate.png,576
31d65bba05b24e5d94fcb4c20ee88827.png,700
b435f06da0a4400089c9ed23c6709e68.png,519
90a31d3332894e4eac3613ba33f621ba_flip.png,165
8ce25e05e0204b549c4fc905b09d6b14.png,380
8ce0eda6274a45bcbbdc58c2bb7b4e9e.png,451
fabbd5e42d7742a6bf84fe2957fadad6.png,425
60ef7aa99a5544c184045a681c3c552a.png,708
6e2900af56f342169db1f3cfcae1a922.png,259
b31192b3add7459299307b18fb461013.png,203
ba875acbbeaa4e65a36465f53dd6d2cc_flip.png,499
f53e02e311dc43358372545f70d5e578.png,310
c91efc35931e4c3781fe9780e7d06abd_rotate.png,274
3d2588e0425648dbb5a925bc154210f3_rotate.png,85
2349a40fc8f748ba91dd79665d5f8c7b.png,652
7795025e7b8c4315a7cd7220162b2826.png,826
fc28e5c8c4964204a06b1346b55137e6_noise.png,422
fc70e1a82e1143fbaab2f4f95e985082_noise.png,605
9f3d7cb6cc364b6284bf2d904866a771.png,782
c4e73b0361274e969ead4051348f20b2_rotate.png,288
36335f10e235490ba7898effdc97e416.png,272
3858f97eaf964bcb9e742d02ba504c10.png,45
3c4be92559bf4e02b6ee9739d8d7d63d_rotate.png,470
8920059cf7c0481fb691b878455b8a01.png,916
8d529863e4914832b27b8489a23a5f00_noise.png,722
3d2588e0425648dbb5a925bc154210f3_noise.png,85
446233a3c9194b4fa1a8c69eb721d714.png,967
8192c4652819410287391c2d059e5942.png,583
50b84fa88f0145f196c14fa8b0e401ec_flip.png,369
24c8c3e4e2d9446da87eb680b38782d1.png,811
f8399802dca74203adcc30facb756781_rotate.png,51
b51fdf87f9284924a80f23fa8ad87679.png,6
0c53d4ecf12f4b90adac4fe22c275558.png,56
83943714f2034e46b0860146fc807248.png,480
b3184b17c877444596fcaee775aa7904.png,743
7cb3c2402f5c430c9992d98794681d83_flip.png,656
f2b960c770a84b4a955090575adea951.png,40
cc2f00a4f9a540949b0779727b6ae69a.png,197
2c732e59c3d74d68aa3e7aa7b079ed3e_rotate.png,924
b66c57ff315541fc8ed3d8fef90886d4_noise.png,853
40be39eab58a48e19fb8ae0d9f20905e.png,434
74621d172b5b4121afbc2cdb8a335bd2.png,391
2fdab59036fb4feab442e38bbb72dac5.png,481
d92d4b0fe8954c69ba143d2733af4d75.png,373
f322802f400944b1869d9ec679e1da73.png,623
dae627a32477468ea8c027485d0371d0.png,276
aba17b4f2bad429da4d2ce175f77b3af.png,862
6a75848dc2ff4944bbb69fd1bef28a2a.png,752
5e240c9faaef4b51a4ec90a59629d80c.png,686
d338dcf4f27e4ad799451f103382a600.png,519
8d2dbfed6ab64723a39c115b55f2777f.png,981
44ebd823a0b5406fa1c9275adb9b5ea5_noise.png,75
74d40572e23043f2a75c8d0b2e14405f.png,63
7a83e126bf9d46f795ba7d9a5bd5313d_rotate.png,128
634697a1465b4216a28dcdacf8da994f.png,378
d9222a6359394bfa95757a18f1343b27.png,342
64c48502e6c44ae08d97ffb7d8c32148_rotate.png,361
7bcf10d59a0f422497cea006b8567a17.png,493
0cecb3cbbbeb4fb387cb09d367ea1194_flip.png,576
090b7feff6f54ed19ac33230415f89a8_flip.png,107
89b18e8e21754fcbab221c0049d87d8f.png,897
bfc958ddf12645b4b4a84c2eee57cfa4_rotate.png,333
ffc598284add4fc78322d3154569816f.png,854
85ccc5a9f64d4b9bbb61a9cd27775e74_rotate.png,937
dd1d571f53fe48679e1696597ce1e028.png,83
9d60a01b568d4f1996ed345f389d228e.png,764
5764942e295b4ff6bf6a80935ab56ba8.png,79
03155c40684d4c69b8981da43ff2fbc2.png,658
b3f346e184c74a1cbf0bb60399356a47.png,812
c8f89e19216d4af585711ff487ae0c1b.png,651
2793b69c181b4b22914659c677a7ec3e.png,981
3c03b61c872a48b79b42edb1682f39d8.png,573
a61d69c14f79480c85b2113b98d5afaa.png,102
863b801939264e9e87a579dee1b3d5cd_noise.png,531
21261a30dae34ef78ac58db9ff8312f7_rotate.png,539
0c64561d14dc4a7ab99ff59368f0c092.png,438
106d14acb79746a4a03d8588992af9f4.png,767
f2b960c770a84b4a955090575adea951_noise.png,40
cbc71b193da04fbd968ce931a4be19f1.png,517
7a43f07af906428eb3cec61f6efb98e6.png,504
8cea0878c2004f51883ec629e8af49db_rotate.png,414
7ae81d4c12d54bb7922bdec667d35600_noise.png,311
0ad5a3fb36dc4111a43ecdef023a1ed2_noise.png,469
d655c5bdd2e74363872691edf7deddf7.png,795
1fa9f639d346409699c93b656f0f7cff_flip.png,720
953bcfeb2a3f42fc9e7917850222d3f0.png,513
020dedbdae1b4cdd8bb0c86dc2a4ea45.png,925
141e29fdb537467a9890084435587810_noise.png,885
6f38519ef2054355a7be7c8b5bbe7492_flip.png,979
3b191bc2b65f44389a1c7a9d8148ae41.png,269
ade9fe36da4442ab9d98bc175e71804a.png,232
e32eeeac23a84e49a8205f32b6535b77.png,105
3e9c8f044d62454e907394a567342628_rotate.png,206
645c4f2a51d84bad938cc3d675fafb1f.png,898
54a8dca32e5e4d7fa4646af5a76371d5.png,533
8f118fcd60454d2980fde52407302674.png,788
473bd9805a8d4ae8afb35a4816743610.png,619
e5d88ebeca9b43b690d1750d1e7fc70a_flip.png,228
d61df8b229794a06a34c853dd5ea907a.png,434
82cf4e14e0024320b1a7c26803b3a9f4.png,877
516c935e4ba546aa9b5e9ac03b64ac2e.png,841
de89b352ca6d4510891f485f8d9e1275.png,251
2584589e5bfb420dad090c9c3800394f.png,145
173dcbad748b419f8bb66403ef7af01b_flip.png,429
fc98d375a0ad4868b1ef4e5b5e387d86_noise.png,864
d23b462b9fec4af68b314d2272d0abf8.png,251
ee97a13ec10a46628a62c685c454afbd_rotate.png,405
8810497ab5ea4c459c0873d816d7b1f2_flip.png,900
efd8988aa43f46e2a282651f1461cb5a.png,157
93f006396d854c3ea0c83b5300f67ecc.png,162
820384c9f9b84ab3acc0c4fa9207757b_noise.png,194
9929e3b942114f46948ef4bb1f50eed2.png,553
e791bc4c73674296888a01a01557127c.png,493
ce81e36e044c47af87af5e9ae693ce7d.png,512
5a2dcfbfe38b4ed0824b25ff6fd1edea.png,661
415d8b3ea7864f66bbd7438c1ea222a8.png,792
68a42a06558a42e69e31fdc32417ce58.png,279
5447a5c25e6841589b655f24e9be04bf.png,667
3fc47f724b8f41709381166900aa0039.png,144
373a42ac4d9a4ed388523998d2b51baf_flip.png,38
838e40cd0e9743f992aa8db30d07489c.png,292
522f152d043b4b12babba9bea3d026f1_rotate.png,42
995237fb11e94660933bffd2eb56cc3e.png,726
85a8e9b08dd54020bb0744eb79c04335.png,894
b73b3af678d54c4aaa8eb4dde1bdc8f5.png,932
0baf174a9440407491ca2034b9ea73ad_rotate.png,977
